instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
256;0.001307;;0.001051;
256;0.000752;;0.000804;
256;0.001068;;0.002516;
256;0.001224;;0.001041;
512;0.000928;;0.002421;
512;0.002541;;0.002065;
512;0.001130;;0.004195;
512;0.000943;;0.002314;
512;0.001220;;0.006636;
512;0.002042;;0.003133;
512;0.001437;;0.002699;
512;0.000935;;0.002267;
512;0.001318;;0.001005;
512;0.000933;;0.002506;
512;0.001889;;0.003026;
512;0.001062;;0.008682;
512;0.001108;;0.002645;
512;0.001215;;0.001573;
512;0.000993;;0.002017;
512;0.000899;;0.002591;
512;0.001204;;0.001902;
512;0.001138;;0.002587;
512;0.001071;;0.002054;
512;0.000730;;0.002357;
512;0.001661;;0.001794;
512;0.001215;;0.008436;
512;0.001139;;0.007299;
512;0.001150;;0.003516;
512;0.000957;;0.002022;
512;0.001255;;0.001999;
512;0.001197;;0.004354;
512;0.001251;;0.010304;
512;0.000793;;0.001134;
512;0.000820;;0.008985;
512;0.002110;;0.004434;
512;0.001141;;0.001331;
512;0.001310;;0.003266;
512;0.001068;;0.002136;
512;0.001149;;0.001381;
512;0.001003;;0.001934;
512;0.000917;;0.007612;
512;0.001000;;0.003012;
512;0.001043;;0.002560;
512;0.001224;;0.001791;
512;0.001091;;0.000865;
512;0.001190;;0.000832;
512;0.001252;;0.002478;
512;0.001067;;0.003545;
512;0.001609;;0.002616;
512;0.001077;;0.001942;
512;0.001164;;0.003494;
512;0.001031;;0.002524;
512;0.001214;;0.002054;
512;0.000800;;0.001740;
512;0.001524;;0.002027;
512;0.000845;;0.003221;
512;0.001095;;0.001459;
512;0.001261;;0.001145;
512;0.001571;;0.002383;
512;0.001554;;0.002420;
512;0.000787;;0.002103;
512;0.001007;;0.005308;
512;0.001033;;0.002515;
512;0.000978;;0.002423;
512;0.001453;;0.002655;
512;0.001160;;0.002064;
512;0.001051;;0.002722;
512;0.000807;;0.001882;
512;0.001187;;0.002131;
512;0.000938;;0.002087;
512;0.001309;;0.010656;
512;0.000919;;0.001337;
512;0.000951;;0.003804;
512;0.001233;;0.002109;
512;0.000942;;0.000863;
512;0.000752;;0.002079;
512;0.001379;;0.001993;
512;0.001238;;0.001177;
512;0.001153;;0.001663;
512;0.000838;;0.002498;
512;0.000863;;0.002384;
512;0.000981;;0.007682;
512;0.001108;;0.001892;
512;0.000896;;0.002178;
