instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
256;0.000812;;0.013985;
256;0.001126;;0.014675;
256;0.001141;;0.011805;
256;0.000929;;0.011642;
512;0.001171;;0.031766;
512;0.001418;;0.048548;
512;0.001740;;0.027051;
512;0.001127;;0.028401;
512;0.001250;;0.028029;
512;0.000918;;0.022994;
512;0.002048;;0.025997;
512;0.001185;;0.029784;
512;0.000962;;0.026566;
512;0.001226;;0.028036;
512;0.001427;;0.027486;
512;0.001104;;0.030120;
512;0.000901;;0.023649;
512;0.001110;;0.023476;
512;0.001118;;0.024984;
512;0.001439;;0.023247;
512;0.000863;;0.026919;
512;0.001422;;0.031886;
512;0.001638;;0.027036;
512;0.000892;;0.026484;
512;0.002223;;0.026821;
512;0.001181;;0.025053;
512;0.001168;;0.025421;
512;0.001235;;0.022381;
512;0.000865;;0.025100;
512;0.000971;;0.026476;
512;0.000830;;0.021993;
512;0.001186;;0.025115;
512;0.001429;;0.030228;
512;0.001049;;0.025578;
512;0.000903;;0.025763;
512;0.001176;;0.026500;
512;0.001127;;0.024915;
512;0.000912;;0.025395;
512;0.001129;;0.021093;
512;0.001625;;0.025330;
512;0.001726;;0.017108;
512;0.002062;;0.030624;
512;0.000979;;0.047670;
512;0.001085;;0.055982;
512;0.002135;;0.031384;
512;0.001070;;0.029116;
512;0.000900;;0.022227;
512;0.000902;;0.025532;
512;0.001053;;0.031494;
512;0.001032;;0.027563;
512;0.001360;;0.026079;
512;0.001038;;0.022034;
512;0.000814;;0.022458;
512;0.001359;;0.035277;
512;0.001605;;0.044914;
512;0.001182;;0.034830;
512;0.001026;;0.028178;
512;0.000819;;0.025181;
512;0.001051;;0.029684;
512;0.001279;;0.029328;
512;0.001109;;0.025393;
512;0.001029;;0.030284;
512;0.000927;;0.025469;
512;0.002086;;0.025488;
512;0.001928;;0.026962;
512;0.001646;;0.027468;
512;0.001222;;0.023876;
512;0.001029;;0.028506;
512;0.001173;;0.026447;
512;0.000793;;0.026061;
512;0.001084;;0.022421;
512;0.001091;;0.025296;
512;0.000948;;0.026415;
512;0.001498;;0.032339;
512;0.000786;;0.033137;
512;0.001142;;0.026231;
512;0.001099;;0.023151;
512;0.001126;;0.025336;
512;0.000863;;0.022389;
512;0.001057;;0.023174;
512;0.001073;;0.025245;
512;0.000945;;0.027703;
512;0.001202;;0.022281;
512;0.000846;;0.030143;
512;0.001042;;0.025095;
