instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
256;;;1.078563;0.022280
256;;;1.066752;0.022592
256;;;1.039785;0.022246
256;;;1.241298;0.032668
512;;;1.006549;0.045430
512;;;1.042237;0.043053
512;;;1.016455;0.042873
512;;;1.009309;0.051136
512;;;1.055567;0.066665
512;;;1.041451;0.045123
512;;;0.986881;0.063570
512;;;1.053119;0.044004
512;;;1.054945;0.054337
512;;;1.162444;0.053537
512;;;1.134910;0.050256
512;;;1.309603;0.050884
512;;;1.169188;0.045024
512;;;1.088540;0.047184
512;;;1.044962;0.046091
512;;;1.031413;0.044435
512;;;1.028709;0.040806
512;;;0.980470;0.046865
512;;;1.071734;0.064746
512;;;1.143744;0.050413
512;;;1.383873;0.054751
512;;;1.193600;0.052102
512;;;1.089733;0.042947
512;;;1.100660;0.048799
512;;;1.080937;0.058972
512;;;1.104265;0.046539
512;;;1.041072;0.047464
512;;;1.103016;0.053735
512;;;1.059589;0.044672
512;;;1.094487;0.051887
512;;;1.128760;0.047300
512;;;1.188036;0.051831
512;;;1.120343;0.046214
512;;;1.139885;0.050482
512;;;1.280182;0.062381
512;;;1.168078;0.064028
512;;;0.961676;0.039055
512;;;1.120678;0.049326
512;;;1.274268;0.051000
512;;;1.292805;0.055340
512;;;1.123914;0.045735
512;;;1.059256;0.054411
512;;;1.130566;0.039966
512;;;1.013415;0.042545
512;;;1.129355;0.048643
512;;;1.055668;0.046415
512;;;1.039565;0.044001
512;;;1.065909;0.060554
512;;;1.134095;0.051143
512;;;1.320280;0.052600
512;;;1.209590;0.057368
512;;;1.106134;0.045449
512;;;1.163097;0.042737
512;;;1.005224;0.043379
512;;;1.043104;0.047013
512;;;1.224507;0.059449
512;;;1.416009;0.056390
512;;;1.279515;0.058478
512;;;1.100227;0.053855
512;;;1.044445;0.061492
512;;;1.018879;0.042280
512;;;1.030433;0.042896
512;;;1.066875;0.042982
512;;;1.022658;0.045373
512;;;1.290799;0.048885
512;;;1.248955;0.046438
512;;;1.302953;0.061404
512;;;1.116533;0.056930
512;;;1.089066;0.045643
512;;;1.006022;0.044268
512;;;1.016038;0.041248
512;;;1.189620;0.055137
512;;;1.313193;0.048125
512;;;1.231904;0.046454
512;;;1.337188;0.055298
512;;;1.199422;0.048679
512;;;1.008523;0.053854
512;;;1.031066;0.042935
512;;;1.033859;0.043122
512;;;1.063157;0.051375
512;;;1.089030;0.044768
512;;;1.015456;0.042836
512;;;1.021450;0.054926
512;;;1.043655;0.042524
512;;;1.090791;0.054260
512;;;1.056886;0.042990
512;;;1.163803;0.046964
512;;;1.297643;0.047170
512;;;1.159731;0.072336
512;;;1.370200;0.059922
512;;;1.082703;0.043317
512;;;1.160044;0.049648
512;;;1.223222;0.048737
